t,dy_left,dy_down,dy_up,dy_right,action
17.735,9999.0,50,140,525,0
17.766,9999.0,45,135,520,0
17.799,9999.0,40,130,515,0
17.817,9999.0,35,125,510,0
17.849,9999.0,30,120,505,0
17.88,9999.0,25,115,500,0
17.898,9999.0,20,110,495,0
17.931,9999.0,15,105,490,0
17.953,9999.0,10,100,485,0
17.985,9999.0,5,95,480,0
18.014,665,290,90,475,4
18.035,660,285,85,470,0
18.068,655,280,80,465,0
18.095,650,275,75,460,0
18.118,645,270,70,455,0
18.149,640,265,65,450,0
18.178,635,260,60,445,0
18.2,630,255,55,440,0
18.232,625,250,50,435,0
18.253,620,245,45,430,0
18.282,615,240,40,425,0
18.313,610,235,35,420,0
18.336,605,230,30,415,0
18.366,600,225,25,410,0
18.387,595,220,20,405,0
18.418,590,215,9999.0,400,3
18.447,585,210,9999.0,395,0
18.468,580,205,9999.0,390,0
18.501,575,200,9999.0,385,0
18.53,570,195,9999.0,380,0
18.55,565,190,9999.0,375,0
18.581,560,185,9999.0,370,0
18.602,555,180,9999.0,365,0
18.632,550,175,9999.0,360,0
18.664,545,170,9999.0,355,0
18.684,540,165,9999.0,350,0
18.716,535,160,9999.0,345,0
18.743,530,155,9999.0,340,0
18.766,525,150,9999.0,335,0
18.797,520,145,9999.0,330,0
18.827,515,140,9999.0,325,0
18.847,510,135,9999.0,320,0
18.88,505,130,9999.0,315,0
18.897,500,125,9999.0,310,0
18.931,495,120,9999.0,305,0
18.961,490,115,9999.0,300,0
18.982,485,110,9999.0,295,0
19.013,480,105,9999.0,290,0
19.034,475,100,9999.0,285,0
19.066,470,95,9999.0,280,0
19.094,465,90,9999.0,275,0
19.116,460,85,9999.0,270,0
19.148,455,80,9999.0,265,0
19.177,450,75,9999.0,260,0
19.198,445,70,9999.0,255,0
19.23,440,65,9999.0,250,0
19.257,435,60,9999.0,245,0
19.278,430,55,9999.0,240,0
19.308,425,50,9999.0,235,0
19.326,420,45,9999.0,230,0
19.358,415,40,9999.0,225,0
19.389,410,35,9999.0,220,0
19.408,405,30,9999.0,215,0
19.441,400,25,9999.0,210,0
19.461,395,20,9999.0,205,0
19.491,390,15,9999.0,200,0
19.522,385,9999.0,9999.0,195,4
19.542,380,9999.0,9999.0,190,0
19.571,375,9999.0,9999.0,185,0
19.603,370,9999.0,9999.0,180,0
19.623,365,9999.0,9999.0,175,0
19.656,360,9999.0,9999.0,170,0
19.687,355,9999.0,9999.0,165,0
19.709,350,9999.0,9999.0,160,0
19.743,345,9999.0,9999.0,155,0
19.763,340,9999.0,9999.0,150,0
19.792,335,9999.0,9999.0,145,0
19.824,330,9999.0,9999.0,140,0
19.845,325,9999.0,9999.0,135,0
19.876,320,9999.0,9999.0,130,0
19.903,315,9999.0,9999.0,125,0
19.925,310,9999.0,9999.0,120,0
19.957,305,9999.0,9999.0,115,0
19.977,300,9999.0,9999.0,110,0
20.007,295,9999.0,9999.0,105,0
20.037,290,9999.0,9999.0,100,0
20.057,285,9999.0,665,95,0
20.09,280,9999.0,660,90,0
20.109,275,9999.0,655,85,0
20.14,270,9999.0,650,80,0
20.17,265,9999.0,645,75,0
20.191,260,9999.0,640,70,0
20.22,255,9999.0,635,65,0
20.254,250,9999.0,630,60,0
20.275,245,9999.0,625,55,0
20.305,240,9999.0,620,50,0
20.335,235,9999.0,615,45,0
20.357,230,9999.0,610,40,0
20.39,225,9999.0,605,35,0
20.407,220,9999.0,600,30,0
20.439,215,9999.0,595,25,0
20.47,210,9999.0,590,20,0
20.493,205,9999.0,585,15,0
20.523,200,9999.0,580,10,0
20.555,195,9999.0,575,5,0
20.577,190,9999.0,570,0,0
20.608,185,9999.0,565,275,2
20.628,180,9999.0,560,270,0
20.66,175,9999.0,555,265,0
20.69,170,9999.0,550,260,0
20.709,165,9999.0,545,255,0
20.742,160,9999.0,540,250,0
20.761,155,9999.0,535,245,0
20.794,150,9999.0,530,240,0
20.824,145,9999.0,525,235,0
20.844,140,9999.0,520,230,0
20.875,135,9999.0,515,225,0
20.905,130,9999.0,510,220,0
20.925,125,9999.0,505,215,0
20.957,120,9999.0,500,210,0
20.986,115,665,495,205,0
21.007,110,660,490,200,0
21.04,105,655,485,195,0
21.058,100,650,480,190,0
21.09,95,645,475,185,0
21.12,90,640,470,180,0
21.142,85,635,465,175,0
21.173,80,630,460,170,0
21.204,75,625,455,165,0
21.224,70,620,450,160,0
21.254,65,615,445,155,0
21.275,60,610,440,150,0
21.308,55,605,435,145,0
21.338,50,600,430,140,0
21.358,45,595,425,135,0
21.39,40,590,420,130,0
21.41,35,585,415,125,0
21.441,30,580,410,120,0
21.474,25,575,405,115,0
21.495,20,570,400,110,0
21.525,15,565,395,105,0
21.556,10,560,390,100,0
21.576,5,555,385,95,0
21.607,0,550,380,90,0
21.636,175,545,375,85,1
21.658,170,540,370,80,0
21.689,165,535,365,75,0
21.708,160,530,360,70,0
21.739,155,525,355,65,0
21.769,150,520,350,60,0
21.789,145,515,345,55,0
21.82,140,510,340,50,0
21.838,135,505,335,45,0
21.87,130,500,330,40,0
21.902,125,495,325,35,0
21.922,120,490,320,30,0
21.952,115,485,315,25,0
21.985,110,480,310,20,0
22.005,105,475,305,15,0
22.037,100,470,300,10,0
22.066,95,465,295,9999.0,2
22.086,90,460,290,9999.0,0
22.119,85,455,285,9999.0,0
22.137,80,450,280,9999.0,0
22.169,75,445,275,9999.0,0
22.198,70,440,270,9999.0,0
22.217,65,435,265,9999.0,0
22.249,60,430,260,9999.0,0
22.279,55,425,255,9999.0,0
22.301,50,420,250,9999.0,0
22.332,45,415,245,9999.0,0
22.354,40,410,240,9999.0,0
22.386,35,405,235,9999.0,0
22.416,30,400,230,9999.0,0
22.436,25,395,225,9999.0,0
22.468,20,390,220,9999.0,0
22.495,15,385,215,9999.0,0
22.519,10,380,210,9999.0,0
22.551,5,375,205,9999.0,0
22.572,9999.0,370,200,9999.0,1
22.602,9999.0,365,195,9999.0,0
22.634,9999.0,360,190,9999.0,0
22.656,9999.0,355,185,9999.0,0
22.688,9999.0,350,180,9999.0,0
22.712,9999.0,345,175,9999.0,0
22.744,9999.0,340,170,9999.0,0
22.776,9999.0,335,165,9999.0,0
22.798,9999.0,330,160,9999.0,0
22.831,9999.0,325,155,9999.0,0
22.852,9999.0,320,150,9999.0,0
22.885,9999.0,315,145,9999.0,0
22.915,9999.0,310,140,9999.0,0
22.938,9999.0,305,135,9999.0,0
22.971,9999.0,300,130,9999.0,0
23.003,9999.0,295,125,9999.0,0
23.026,9999.0,290,120,665,0
23.058,9999.0,285,115,660,0
23.078,9999.0,280,110,655,0
23.111,9999.0,275,105,650,0
23.143,9999.0,270,100,645,0
23.165,9999.0,265,95,640,0
23.198,9999.0,260,90,635,0
23.218,9999.0,255,85,630,0
23.252,9999.0,250,80,625,0
23.286,9999.0,245,75,620,0
23.307,9999.0,240,70,615,0
23.34,9999.0,235,65,610,0
23.361,9999.0,230,60,605,0
23.394,9999.0,225,55,600,0
23.426,9999.0,220,50,595,0
23.448,9999.0,215,45,590,0
23.481,9999.0,210,40,585,0
23.502,9999.0,205,35,580,0
23.534,9999.0,200,30,575,0
23.565,9999.0,195,25,570,0
23.587,9999.0,190,20,565,0
23.621,9999.0,185,15,560,0
23.652,9999.0,180,10,555,0
23.675,9999.0,175,9999.0,550,3
23.711,9999.0,170,9999.0,545,0
23.733,9999.0,165,9999.0,540,0
23.768,9999.0,160,9999.0,535,0
23.795,9999.0,155,9999.0,530,0
23.831,9999.0,150,9999.0,525,0
23.864,9999.0,145,9999.0,520,0
23.887,9999.0,140,9999.0,515,0
23.923,9999.0,135,9999.0,510,0
23.948,9999.0,130,9999.0,505,0
23.982,665,125,9999.0,500,0
24.014,660,120,9999.0,495,0
24.038,655,115,9999.0,490,0
24.071,650,110,9999.0,485,0
24.093,645,105,9999.0,480,0
24.125,640,100,9999.0,475,0
24.157,635,95,9999.0,470,0
24.18,630,90,9999.0,465,0
24.214,625,85,9999.0,460,0
24.237,620,80,9999.0,455,0
24.27,615,75,9999.0,450,0
24.302,610,70,9999.0,445,0
24.324,605,65,9999.0,440,0
24.358,600,60,9999.0,435,0
24.379,595,55,9999.0,430,0
24.413,590,50,9999.0,425,0
